id,value
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.1.0.122,3484
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.1.1.140,3484
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.0.160,3482
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.0.32,3485
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.1.0.43,3488
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.1.1.1.1.52,3488
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.0.64,3483
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.1.0.1,3488
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.0.1.1.183,3488
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.1.0.39,3484
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.1.1.1.79,3484
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.1.0,
